"Saccharomyces cerevisiae","Rhodosporidium toruloides","CS","EL","Trees","phylome","ensembl","orthomcl","treefam","eggnog","hogenom"
"A0A0D3UW10","M7XI47","1.000","1","2","1.00/2","","","","",""
"A0A0D4EMJ2","M7WSV0","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2Z2","M7X0L9","1.000","1","2","1.00/2","","","","",""
"A0A0C6CEB5","M7XII3","1.000","1","2","1.00/2","","","","",""
"P35845","M7X220","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2K2","M7XRT0","1.000","2","5","1.00/4","","","","",""
"M!03904853","M7XKE6","1.000","2","5","1.00/4","","","","",""
"A0A0C5ZZB9","M7WG58","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1V5","M7WSY9","1.000","2","5","1.00/4","","","","",""
"A0A0D4AUX5","M7WRH5","1.000","1","1","","","","","",""
"A0A0C5YW14","M7WN97","1.000","1","2","1.00/2","","","","",""
"A0A0D4TBJ5","M7WNA7","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2P7","M7X8T9","1.000","2","3","1.00/2","","","","",""
"P24482","M7XI02","1.000","2","3","1.00/2","","","","",""
"A0A0D4N8U7","M7WMG2","0.500","1","4","0.50/4","","","","",""
"N1P8E5","M7Y0H1","1.000","2","3","1.00/2","","","","",""
"N1P9W5","M7WG40","1.000","2","3","1.00/2","","","","",""
"A0A0D3TRH7","M7X3W9","1.000","2","3","1.00/2","","","","",""
"A0A0D4RJY7","M7X9F4","1.000","2","17","1.00/16","","","","",""
"A0A0D4JG88","M7WYU7","0.667","2","3","0.50/2","","","","",""
"A0A0D4Q2G8","M7WIC0","1.000","2","3","1.00/2","","","","",""
"E7Q4A2","G1FK51","1.000","1","2","1.00/2","","","","",""
"A0A0D4T3R6","M7WRE2","1.000","2","3","1.00/2","","","","",""
"A0A0C5M468","M7X0X5","0.667","1","3","1.00/2","","","","",""
"A0A0D4UN18","M7XCW8","1.000","2","3","1.00/2","","","","",""
"A0A0C6CDP0","M7WM43","1.000","1","12","1.00/12","","","","",""
"N1P3P7","M7WPW8","0.667","1","3","1.00/2","","","","",""
"A0A0D4Y2S5","M7WKV9","1.000","1","2","1.00/2","","","","",""
